sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
7,1761643640.362000,1761643640.338500,23.500,-19801.3,-330.02,394,400,-6,+0
8,1761643641.349500,1761643641.341000,8.500,-19800.3,-330.01,393,398,-7,-2
9,1761643642.346000,1761643642.338000,8.000,-19799.3,-329.99,395,401,-5,+1
10,1761643643.351500,1761643643.341500,10.000,-19798.3,-329.97,394,400,-6,+0
11,1761643644.347000,1761643644.341000,6.000,-19797.3,-329.96,390,398,-10,-2
12,1761643645.351000,1761643645.343000,8.000,-19796.3,-329.94,392,400,-8,+0
13,1761643646.351500,1761643646.341000,10.500,-19795.3,-329.92,390,400,-10,+0
14,1761643647.354500,1761643647.340500,14.000,-19794.3,-329.91,390,400,-10,+0
15,1761643648.347500,1761643648.342000,5.500,-19793.3,-329.89,390,399,-10,-1
16,1761643649.350500,1761643649.341500,9.000,-19792.3,-329.87,395,398,-5,-2
17,1761643650.350000,1761643650.343000,7.000,-19791.3,-329.86,391,400,-9,+0
18,1761643651.355000,1761643651.344000,11.000,-19790.3,-329.84,392,398,-8,-2
19,1761643652.347500,1761643652.344500,3.000,-19789.3,-329.82,392,400,-8,+0
20,1761643653.352500,1761643653.344000,8.500,-19788.3,-329.81,391,399,-9,-1
21,1761643654.351500,1761643654.344500,7.000,-19787.3,-329.79,391,399,-9,-1
22,1761643655.357000,1761643655.345000,12.000,-19786.3,-329.77,391,400,-9,+0
23,1761643656.350500,1761643656.343000,7.500,-19785.3,-329.76,391,400,-9,+0
24,1761643657.356000,1761643657.342500,13.500,-19784.3,-329.74,392,401,-8,+1
25,1761643658.353000,1761643658.348000,5.000,-19783.3,-329.72,391,399,-9,-1
26,1761643659.360500,1761643659.345000,15.500,-19782.3,-329.71,391,399,-9,-1
27,1761643660.356000,1761643660.345500,10.500,-19781.3,-329.69,390,400,-10,+0
28,1761643661.356500,1761643661.345000,11.500,-19780.3,-329.67,392,400,-8,+0
29,1761643662.354500,1761643662.346500,8.000,-19779.3,-329.66,392,400,-8,+0
30,1761643663.357500,1761643663.348500,9.000,-19778.3,-329.64,392,400,-8,+0
31,1761643664.353000,1761643664.347500,5.500,-19777.3,-329.62,391,399,-9,-1
32,1761643665.357500,1761643665.348500,9.000,-19776.3,-329.61,393,400,-7,+0
33,1761643666.357000,1761643666.348500,8.500,-19775.3,-329.59,390,400,-10,+0
34,1761643667.355000,1761643667.348000,7.000,-19774.3,-329.57,395,401,-5,+1
35,1761643668.360500,1761643668.350000,10.500,-19773.3,-329.56,781,400,+381,+0
37,1761643670.358000,1761643670.353000,5.000,-19771.3,-329.52,391,399,-9,-1
38,1761643671.357500,1761643671.353500,4.000,-19770.3,-329.51,391,400,-9,+0
39,1761643672.361500,1761643672.354000,7.500,-19769.3,-329.49,391,400,-9,+0
40,1761643673.355500,1761643673.352500,3.000,-19768.3,-329.47,392,400,-8,+0
41,1761643674.359500,1761643674.351500,8.000,-19767.3,-329.46,392,401,-8,+1
42,1761643675.360000,1761643675.356000,4.000,-19766.3,-329.44,392,400,-8,+0
43,1761643676.362500,1761643676.356500,6.000,-19765.3,-329.42,392,400,-8,+0
44,1761643677.358000,1761643677.354500,3.500,-19764.3,-329.41,390,399,-10,-1
45,1761643678.361500,1761643678.355500,6.000,-19763.3,-329.39,391,400,-9,+0
46,1761643679.358500,1761643679.356000,2.500,-19762.3,-329.37,391,400,-9,+0
47,1761643680.365000,1761643680.354500,10.500,-19761.3,-329.36,391,400,-9,+0
48,1761643681.362000,1761643681.357500,4.500,-19760.3,-329.34,390,399,-10,-1
49,1761643682.365000,1761643682.357000,8.000,-19759.3,-329.32,393,397,-7,-3
50,1761643683.362000,1761643683.356500,5.500,-19758.3,-329.31,390,400,-10,+0
51,1761643684.369000,1761643684.358500,10.500,-19757.3,-329.29,390,400,-10,+0
52,1761643685.362000,1761643685.358000,4.000,-19756.3,-329.27,392,400,-8,+0
53,1761643686.365500,1761643686.358500,7.000,-19755.3,-329.26,392,401,-8,+1
54,1761643687.362500,1761643687.360500,2.000,-19754.3,-329.24,390,400,-10,+0
55,1761643688.369000,1761643688.359000,10.000,-19753.3,-329.22,390,400,-10,+0
56,1761643689.363500,1761643689.359500,4.000,-19752.3,-329.21,393,399,-7,-1
57,1761643690.367500,1761643690.359000,8.500,-19751.3,-329.19,392,400,-8,+0
58,1761643691.364500,1761643691.359500,5.000,-19750.3,-329.17,391,400,-9,+0
