sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,
1381,1761653255,1761653255,9.5,-18440.8,-307.35,782,400,382,0,,,1407439
2928,1761654803,1761654803,6.5,-16893.2,-281.55,782,400,382,0,,,1436737
236,1761652110,1761652110,4.5,-19586.2,-326.44,398,399,-2,-1,,,-29298
3569,1761655444,1761655444,9,-16252,-270.87,397,398,-3,-2,,,
237,1761652111,1761652111,6,-19585.2,-326.42,396,400,-4,0,,,
468,1761652342,1761652342,6.5,-19354.1,-322.57,396,399,-4,-1,,,
584,1761652458,1761652458,9,-19238.1,-320.63,396,401,-4,1,,,
736,1761652610,1761652610,5.5,-19086,-318.1,396,400,-4,0,,,
924,1761652798,1761652798,6,-18898,-314.97,396,401,-4,1,,,
962,1761652836,1761652836,7,-18859.9,-314.33,396,400,-4,0,,,
1808,1761653683,1761653683,1.5,-18013.6,-300.23,396,399,-4,-1,,,
2379,1761654254,1761654254,7.5,-17442.4,-290.71,396,400,-4,0,,,
2767,1761654642,1761654642,9,-17054.3,-284.24,396,400,-4,0,,,
2855,1761654730,1761654730,12,-16966.2,-282.77,396,399,-4,-1,,,
3252,1761655127,1761655127,6,-16569.1,-276.15,396,400,-4,0,,,
3389,1761655264,1761655264,5,-16432.1,-273.87,396,401,-4,1,,,
152,1761652026,1761652026,1,-19670.3,-327.84,395,397,-5,-3,,,
153,1761652027,1761652027,8,-19669.3,-327.82,395,399,-5,-1,,,
154,1761652028,1761652028,5.5,-19668.3,-327.8,395,400,-5,0,,,
238,1761652112,1761652112,7,-19584.2,-326.4,395,400,-5,0,,,
239,1761652113,1761652113,1,-19583.2,-326.39,395,399,-5,-1,,,
352,1761652226,1761652226,3,-19470.2,-324.5,395,399,-5,-1,,,
355,1761652229,1761652229,3,-19467.2,-324.45,395,400,-5,0,,,
466,1761652340,1761652340,5.5,-19356.1,-322.6,395,400,-5,0,,,
469,1761652343,1761652343,4,-19353.1,-322.55,395,400,-5,0,,,
471,1761652345,1761652345,4,-19351.1,-322.52,395,399,-5,-1,,,
585,1761652459,1761652459,7,-19237.1,-320.62,395,400,-5,0,,,
587,1761652461,1761652461,6.5,-19235.1,-320.58,395,400,-5,0,,,
894,1761652768,1761652768,2.5,-18928,-315.47,395,399,-5,-1,,,
923,1761652797,1761652797,4,-18899,-314.98,395,400,-5,0,,,
925,1761652799,1761652799,1.5,-18897,-314.95,395,399,-5,-1,,,
967,1761652841,1761652841,3.5,-18854.9,-314.25,395,400,-5,0,,,
1013,1761652887,1761652887,9,-18808.9,-313.48,395,400,-5,0,,,
1019,1761652893,1761652893,8.5,-18802.9,-313.38,395,401,-5,1,,,
1153,1761653027,1761653027,10,-18668.9,-311.15,395,400,-5,0,,,
1155,1761653029,1761653029,3.5,-18666.9,-311.11,395,400,-5,0,,,
1157,1761653031,1761653031,4,-18664.9,-311.08,395,400,-5,0,,,
1308,1761653182,1761653182,6.5,-18513.8,-308.56,395,398,-5,-2,,,
1533,1761653407,1761653407,5,-18288.7,-304.81,395,400,-5,0,,,
1760,1761653635,1761653635,6.5,-18061.6,-301.03,395,400,-5,0,,,
1816,1761653691,1761653691,8,-18005.6,-300.09,395,400,-5,0,,,
1868,1761653743,1761653743,2.5,-17953.6,-299.23,395,398,-5,-2,,,
2016,1761653891,1761653891,4.5,-17805.6,-296.76,395,399,-5,-1,,,
2018,1761653893,1761653893,6,-17803.6,-296.73,395,399,-5,-1,,,
2135,1761654010,1761654010,6.5,-17686.5,-294.78,395,398,-5,-2,,,
2238,1761654113,1761654113,2.5,-17583.5,-293.06,395,399,-5,-1,,,
2277,1761654152,1761654152,6.5,-17544.5,-292.41,395,400,-5,0,,,
2280,1761654155,1761654155,5.5,-17541.5,-292.36,395,400,-5,0,,,
2319,1761654194,1761654194,7.5,-17502.4,-291.71,395,401,-5,1,,,
2330,1761654205,1761654205,6.5,-17491.4,-291.52,395,401,-5,1,,,
2375,1761654250,1761654250,8.5,-17446.4,-290.77,395,400,-5,0,,,
2720,1761654595,1761654595,6.5,-17101.3,-285.02,395,399,-5,-1,,,
2844,1761654719,1761654719,9,-16977.2,-282.95,395,401,-5,1,,,
3096,1761654971,1761654971,7.5,-16725.2,-278.75,395,401,-5,1,,,
3099,1761654974,1761654974,11,-16722.2,-278.7,395,400,-5,0,,,
3443,1761655318,1761655318,8.5,-16378,-272.97,395,400,-5,0,,,
3568,1761655443,1761655443,6,-16253,-270.88,395,400,-5,0,,,
3581,1761655456,1761655456,1.5,-16240,-270.67,395,399,-5,-1,,,
41,1761651915,1761651915,4,-19781.3,-329.69,394,399,-6,-1,,,
48,1761651922,1761651922,8.5,-19774.3,-329.57,394,400,-6,0,,,
126,1761652000,1761652000,7,-19696.3,-328.27,394,400,-6,0,,,
127,1761652001,1761652001,7,-19695.3,-328.25,394,400,-6,0,,,
161,1761652035,1761652035,9,-19661.3,-327.69,394,400,-6,0,,,
271,1761652145,1761652145,5.5,-19551.2,-325.85,394,399,-6,-1,,,
313,1761652187,1761652187,10,-19509.2,-325.15,394,400,-6,0,,,
326,1761652200,1761652200,7.5,-19496.2,-324.94,394,399,-6,-1,,,
353,1761652227,1761652227,6.5,-19469.2,-324.49,394,399,-6,-1,,,
354,1761652228,1761652228,5.5,-19468.2,-324.47,394,400,-6,0,,,
356,1761652230,1761652230,5.5,-19466.2,-324.44,394,401,-6,1,,,
427,1761652301,1761652301,6.5,-19395.2,-323.25,394,400,-6,0,,,
448,1761652322,1761652322,7.5,-19374.1,-322.9,394,400,-6,0,,,
472,1761652346,1761652346,5,-19350.1,-322.5,394,400,-6,0,,,
476,1761652350,1761652350,9.5,-19346.1,-322.44,394,399,-6,-1,,,
498,1761652372,1761652372,2.5,-19324.1,-322.07,394,399,-6,-1,,,
582,1761652456,1761652456,6.5,-19240.1,-320.67,394,398,-6,-2,,,
583,1761652457,1761652457,3,-19239.1,-320.65,394,400,-6,0,,,
588,1761652462,1761652462,8,-19234.1,-320.57,394,399,-6,-1,,,
651,1761652525,1761652525,4,-19171.1,-319.52,394,399,-6,-1,,,
679,1761652553,1761652553,6,-19143.1,-319.05,394,400,-6,0,,,
732,1761652606,1761652606,7,-19090,-318.17,394,401,-6,1,,,
734,1761652608,1761652608,8,-19088,-318.13,394,399,-6,-1,,,
735,1761652609,1761652609,7,-19087,-318.12,394,400,-6,0,,,
777,1761652651,1761652651,7,-19045,-317.42,394,400,-6,0,,,
859,1761652733,1761652733,9.5,-18963,-316.05,394,399,-6,-1,,,
921,1761652795,1761652795,6.5,-18901,-315.02,394,400,-6,0,,,
922,1761652796,1761652796,8,-18900,-315,394,400,-6,0,,,
926,1761652800,1761652800,7.5,-18896,-314.93,394,400,-6,0,,,
992,1761652866,1761652866,3,-18829.9,-313.83,394,399,-6,-1,,,
1014,1761652888,1761652888,2,-18807.9,-313.47,394,399,-6,-1,,,
1015,1761652889,1761652889,8,-18806.9,-313.45,394,398,-6,-2,,,
1040,1761652914,1761652914,0,-18781.9,-313.03,394,399,-6,-1,,,
1156,1761653030,1761653030,6,-18665.9,-311.1,394,400,-6,0,,,
1158,1761653032,1761653032,6,-18663.9,-311.06,394,400,-6,0,,,
1191,1761653065,1761653065,5,-18630.9,-310.51,394,398,-6,-2,,,
1202,1761653076,1761653076,9.5,-18619.9,-310.33,394,399,-6,-1,,,
1204,1761653078,1761653078,6.5,-18617.9,-310.3,394,399,-6,-1,,,
1225,1761653099,1761653099,1,-18596.9,-309.95,394,399,-6,-1,,,
1229,1761653103,1761653103,3,-18592.9,-309.88,394,400,-6,0,,,
1298,1761653172,1761653172,5.5,-18523.8,-308.73,394,400,-6,0,,,
1342,1761653216,1761653216,9,-18479.8,-308,394,399,-6,-1,,,
1354,1761653228,1761653228,1.5,-18467.8,-307.8,394,399,-6,-1,,,
1383,1761653257,1761653257,4,-18438.8,-307.31,394,398,-6,-2,,,
1384,1761653258,1761653258,1.5,-18437.8,-307.3,394,399,-6,-1,,,
1394,1761653268,1761653268,4.5,-18427.8,-307.13,394,400,-6,0,,,
1405,1761653279,1761653279,11.5,-18416.8,-306.95,394,401,-6,1,,,
1415,1761653289,1761653289,8.5,-18406.8,-306.78,394,400,-6,0,,,
1447,1761653321,1761653321,8.5,-18374.8,-306.25,394,400,-6,0,,,
1448,1761653322,1761653322,8.5,-18373.8,-306.23,394,400,-6,0,,,
1450,1761653324,1761653324,3.5,-18371.8,-306.2,394,400,-6,0,,,
1451,1761653325,1761653325,4.5,-18370.8,-306.18,394,400,-6,0,,,
1452,1761653326,1761653326,6,-18369.8,-306.16,394,399,-6,-1,,,
1479,1761653353,1761653353,5,-18342.8,-305.71,394,398,-6,-2,,,
1490,1761653364,1761653364,7,-18331.8,-305.53,394,400,-6,0,,,
1593,1761653467,1761653467,5,-18228.7,-303.81,394,398,-6,-2,,,
1621,1761653495,1761653495,4.5,-18200.7,-303.35,394,400,-6,0,,,
1680,1761653555,1761653554,6,-18141.7,-302.36,394,400,-6,0,,,
1724,1761653599,1761653599,5.5,-18097.7,-301.63,394,400,-6,0,,,
1740,1761653615,1761653615,8,-18081.7,-301.36,394,398,-6,-2,,,
1809,1761653684,1761653684,3.5,-18012.6,-300.21,394,400,-6,0,,,
1810,1761653685,1761653685,1,-18011.6,-300.19,394,400,-6,0,,,
1818,1761653693,1761653693,7,-18003.6,-300.06,394,400,-6,0,,,
1819,1761653694,1761653694,3.5,-18002.6,-300.04,394,400,-6,0,,,
1845,1761653720,1761653720,2.5,-17976.6,-299.61,394,400,-6,0,,,
1846,1761653721,1761653721,7.5,-17975.6,-299.59,394,400,-6,0,,,
1871,1761653746,1761653746,6.5,-17950.6,-299.18,394,400,-6,0,,,
1916,1761653791,1761653791,12,-17905.6,-298.43,394,398,-6,-2,,,
2012,1761653887,1761653887,6,-17809.6,-296.83,394,400,-6,0,,,
2013,1761653888,1761653888,4.5,-17808.6,-296.81,394,400,-6,0,,,
2021,1761653896,1761653896,4,-17800.6,-296.68,394,400,-6,0,,,
2022,1761653897,1761653897,6.5,-17799.6,-296.66,394,400,-6,0,,,
2036,1761653911,1761653911,7,-17785.5,-296.43,394,399,-6,-1,,,
2232,1761654107,1761654107,7.5,-17589.5,-293.16,394,401,-6,1,,,
2276,1761654151,1761654151,4.5,-17545.5,-292.42,394,400,-6,0,,,
2278,1761654153,1761654153,5.5,-17543.5,-292.39,394,400,-6,0,,,
2281,1761654156,1761654156,6.5,-17540.5,-292.34,394,400,-6,0,,,
2414,1761654289,1761654289,3,-17407.4,-290.12,394,398,-6,-2,,,
2464,1761654339,1761654339,3,-17357.4,-289.29,394,399,-6,-1,,,
2476,1761654351,1761654351,3,-17345.4,-289.09,394,399,-6,-1,,,
2482,1761654357,1761654357,6.5,-17339.4,-288.99,394,401,-6,1,,,
2489,1761654364,1761654364,6,-17332.4,-288.87,394,399,-6,-1,,,
2618,1761654493,1761654493,9.5,-17203.3,-286.72,394,400,-6,0,,,
2628,1761654503,1761654503,9,-17193.3,-286.56,394,398,-6,-2,,,
2653,1761654528,1761654528,8,-17168.3,-286.14,394,397,-6,-3,,,
2710,1761654585,1761654585,8.5,-17111.3,-285.19,394,400,-6,0,,,
2739,1761654614,1761654614,7.5,-17082.3,-284.7,394,400,-6,0,,,
2748,1761654623,1761654623,5,-17073.3,-284.55,394,400,-6,0,,,
2765,1761654640,1761654640,8,-17056.3,-284.27,394,400,-6,0,,,
2781,1761654656,1761654656,6.5,-17040.3,-284,394,400,-6,0,,,
2812,1761654687,1761654687,7.5,-17009.3,-283.49,394,400,-6,0,,,
2845,1761654720,1761654720,5.5,-16976.2,-282.94,394,400,-6,0,,,
2856,1761654731,1761654731,6,-16965.2,-282.75,394,400,-6,0,,,
2857,1761654732,1761654732,5,-16964.2,-282.74,394,400,-6,0,,,
2858,1761654733,1761654733,6,-16963.2,-282.72,394,399,-6,-1,,,
2940,1761654815,1761654815,6,-16881.2,-281.35,394,400,-6,0,,,
3022,1761654897,1761654897,3,-16799.2,-279.99,394,399,-6,-1,,,
3028,1761654903,1761654903,5,-16793.2,-279.89,394,400,-6,0,,,
3184,1761655059,1761655059,5.5,-16637.1,-277.29,394,399,-6,-1,,,
3188,1761655063,1761655063,7.5,-16633.1,-277.22,394,400,-6,0,,,
3312,1761655187,1761655187,10,-16509.1,-275.15,394,400,-6,0,,,
3390,1761655265,1761655265,1,-16431.1,-273.85,394,399,-6,-1,,,
3440,1761655315,1761655315,11,-16381,-273.02,394,399,-6,-1,,,
3500,1761655375,1761655375,2.5,-16321,-272.02,394,399,-6,-1,,,
3501,1761655376,1761655376,5.5,-16320,-272,394,400,-6,0,,,
3516,1761655391,1761655391,5,-16305,-271.75,394,399,-6,-1,,,
3523,1761655398,1761655398,10.5,-16298,-271.63,394,398,-6,-2,,,
3566,1761655441,1761655441,9.5,-16255,-270.92,394,399,-6,-1,,,
3571,1761655446,1761655446,4,-16250,-270.83,394,400,-6,0,,,
3572,1761655447,1761655447,4,-16249,-270.82,394,400,-6,0,,,
21,1761651895,1761651895,19,-19801.3,-330.02,393,399,-7,-1,,,
38,1761651912,1761651912,8,-19784.3,-329.74,393,400,-7,0,,,
39,1761651913,1761651913,6.5,-19783.3,-329.72,393,400,-7,0,,,
74,1761651948,1761651948,6,-19748.3,-329.14,393,400,-7,0,,,
75,1761651949,1761651949,4.5,-19747.3,-329.12,393,397,-7,-3,,,
77,1761651951,1761651951,10.5,-19745.3,-329.09,393,399,-7,-1,,,
87,1761651961,1761651961,7.5,-19735.3,-328.92,393,399,-7,-1,,,
96,1761651970,1761651970,5,-19726.3,-328.77,393,399,-7,-1,,,
101,1761651975,1761651975,12,-19721.3,-328.69,393,401,-7,1,,,
121,1761651995,1761651995,9,-19701.3,-328.35,393,400,-7,0,,,
132,1761652006,1761652006,9,-19690.3,-328.17,393,399,-7,-1,,,
134,1761652008,1761652008,4,-19688.3,-328.14,393,400,-7,0,,,
144,1761652018,1761652018,6,-19678.3,-327.97,393,400,-7,0,,,
150,1761652024,1761652024,6,-19672.3,-327.87,393,400,-7,0,,,
162,1761652036,1761652036,7,-19660.3,-327.67,393,401,-7,1,,,
167,1761652041,1761652041,9,-19655.2,-327.59,393,400,-7,0,,,
176,1761652050,1761652050,2.5,-19646.2,-327.44,393,399,-7,-1,,,
178,1761652052,1761652052,7.5,-19644.2,-327.4,393,399,-7,-1,,,
201,1761652075,1761652075,7.5,-19621.2,-327.02,393,399,-7,-1,,,
204,1761652078,1761652078,9.5,-19618.2,-326.97,393,400,-7,0,,,
205,1761652079,1761652079,4,-19617.2,-326.95,393,400,-7,0,,,
230,1761652104,1761652104,7.5,-19592.2,-326.54,393,399,-7,-1,,,
235,1761652109,1761652109,8.5,-19587.2,-326.45,393,398,-7,-2,,,
240,1761652114,1761652114,9.5,-19582.2,-326.37,393,400,-7,0,,,
262,1761652136,1761652136,4.5,-19560.2,-326,393,400,-7,0,,,
270,1761652144,1761652144,2.5,-19552.2,-325.87,393,399,-7,-1,,,
272,1761652146,1761652146,5.5,-19550.2,-325.84,393,400,-7,0,,,
314,1761652188,1761652188,9,-19508.2,-325.14,393,400,-7,0,,,
315,1761652189,1761652189,9.5,-19507.2,-325.12,393,400,-7,0,,,
316,1761652190,1761652190,5.5,-19506.2,-325.1,393,400,-7,0,,,
345,1761652219,1761652219,10.5,-19477.2,-324.62,393,399,-7,-1,,,
362,1761652236,1761652236,4.5,-19460.2,-324.34,393,399,-7,-1,,,
364,1761652238,1761652238,8.5,-19458.2,-324.3,393,400,-7,0,,,
373,1761652247,1761652247,5,-19449.2,-324.15,393,401,-7,1,,,
386,1761652260,1761652260,9.5,-19436.2,-323.94,393,400,-7,0,,,
394,1761652268,1761652268,11,-19428.2,-323.8,393,400,-7,0,,,
403,1761652277,1761652277,5,-19419.2,-323.65,393,399,-7,-1,,,
415,1761652289,1761652289,10.5,-19407.2,-323.45,393,399,-7,-1,,,
436,1761652310,1761652310,6,-19386.2,-323.1,393,399,-7,-1,,,
