sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,,,
33,1761738135.564500,1761738135.560500,4,-19801.3,-330.02,396,399,-4,-1,,,,,
34,1761738136.557000,1761738136.560500,3.5,-19800.3,-330,396,394,-4,-6,,,,91,
35,1761738137.561500,1761738137.553500,8,-19799.3,-329.99,395,398,-5,-2,,,,2067,
36,1761738138.558500,1761738138.555500,3,-19798.3,-329.97,398,398,-2,-2,,,,1364,
37,1761738139.565500,1761738139.554000,11.5,-19797.3,-329.95,395,398,-5,-2,,,,,
38,1761738140.562500,1761738140.551500,11,-19796.3,-329.94,397,400,-3,0,,,,,
39,1761738141.557500,1761738141.558500,1,-19795.3,-329.92,397,397,-3,-3,,,,,
40,1761738142.559500,1761738142.558000,1.5,-19794.3,-329.9,396,397,-4,-3,,,,,
41,1761738143.561500,1761738143.558500,3,-19793.3,-329.89,396,397,-4,-3,,,,,
42,1761738144.558500,1761738144.557000,1.5,-19792.3,-329.87,398,397,-2,-3,,,,,
43,1761738145.565500,1761738145.556500,9,-19791.3,-329.85,397,400,-3,0,,,,,
44,1761738146.566000,1761738146.559000,7,-19790.3,-329.84,397,397,-3,-3,,,,,
45,1761738147.561000,1761738147.560000,1,-19789.3,-329.82,396,397,-4,-3,,,,,
46,1761738148.560500,1761738148.558000,2.5,-19788.3,-329.8,396,398,-4,-2,,,,,
47,1761738149.563500,1761738149.556500,7,-19787.3,-329.79,396,399,-4,-1,,,,,
48,1761738150.565500,1761738150.558500,7,-19786.3,-329.77,396,398,-4,-2,,,,,
49,1761738151.565000,1761738151.559000,6,-19785.3,-329.75,397,398,-3,-2,,,,,
50,1761738152.567000,1761738152.556500,10.5,-19784.3,-329.74,397,399,-3,-1,,,,,
51,1761738153.562000,1761738153.561000,1,-19783.3,-329.72,395,395,-5,-5,,,,,
52,1761738154.564500,1761738154.561500,3,-19782.3,-329.7,397,397,-3,-3,,,,,
53,1761738155.566500,1761738155.561000,5.5,-19781.3,-329.69,396,397,-4,-3,,,,,
54,1761738156.569500,1761738156.561500,8,-19780.3,-329.67,396,397,-4,-3,,,,,
55,1761738157.571500,1761738157.565000,6.5,-19779.3,-329.65,396,397,-4,-3,,,,,
56,1761738158.573500,1761738158.560000,13.5,-19778.3,-329.64,395,399,-5,-1,,,,,
57,1761738159.563500,1761738159.564500,1,-19777.3,-329.62,395,397,-5,-3,,,,,
58,1761738160.564500,1761738160.561500,3,-19776.3,-329.6,397,399,-3,-1,,,,,
59,1761738161.569000,1761738161.566000,3,-19775.3,-329.59,394,397,-6,-3,,,,,
60,1761738162.571000,1761738162.564500,6.5,-19774.3,-329.57,395,397,-5,-3,,,,,
61,1761738163.570500,1761738163.559000,11.5,-19773.3,-329.55,397,399,-3,-1,,,,,
62,1761738164.572500,1761738164.559000,13.5,-19772.3,-329.54,396,400,-4,0,,,,,
63,1761738165.565000,1761738165.564500,0.5,-19771.3,-329.52,396,398,-4,-2,,,,,
64,1761738166.568000,1761738166.567500,0.5,-19770.3,-329.5,395,396,-5,-4,,,,,
65,1761738167.566000,1761738167.567000,1,-19769.3,-329.49,397,397,-3,-3,,,,,
66,1761738168.570500,1761738168.570000,0.5,-19768.3,-329.47,397,396,-3,-4,,,,,
67,1761738169.573500,1761738169.564500,9,-19767.3,-329.45,397,398,-3,-2,,,,,
68,1761738170.575500,1761738170.562000,13.5,-19766.3,-329.44,396,398,-4,-2,,,,,
69,1761738171.568000,1761738171.567500,0.5,-19765.3,-329.42,396,397,-4,-3,,,,,
70,1761738172.573000,1761738172.567000,6,-19764.3,-329.4,392,397,-8,-3,,,,,
71,1761738173.575000,1761738173.564000,11,-19763.3,-329.39,394,399,-6,-1,,,,,
72,1761738174.577000,1761738174.567000,10,-19762.3,-329.37,396,398,-4,-2,,,,,
73,1761738175.577500,1761738175.564000,13.5,-19761.3,-329.35,396,399,-4,-1,,,,,
74,1761738176.577000,1761738176.564000,13,-19760.3,-329.34,396,399,-4,-1,,,,,
75,1761738177.569500,1761738177.569500,0,-19759.3,-329.32,396,398,-4,-2,,,,,
76,1761738178.571500,1761738178.571500,0,-19758.3,-329.3,396,397,-4,-3,,,,,
77,1761738179.573500,1761738179.571000,2.5,-19757.3,-329.29,395,396,-5,-4,,,,,
78,1761738180.576500,1761738180.569000,7.5,-19756.3,-329.27,397,398,-3,-2,,,,,
79,1761738181.585000,1761738181.569000,16,-19755.3,-329.25,394,398,-6,-2,,,,,
80,1761738182.585500,1761738182.566500,19,-19754.3,-329.24,394,399,-6,-1,,,,,
81,1761738183.573000,1761738183.571000,2,-19753.3,-329.22,394,394,-6,-6,,,,,
82,1761738184.576000,1761738184.570500,5.5,-19752.3,-329.2,396,397,-4,-3,,,,,
83,1761738185.578000,1761738185.571000,7,-19751.3,-329.19,394,397,-6,-3,,,,,
84,1761738186.576000,1761738186.574000,2,-19750.3,-329.17,396,397,-4,-3,,,,,
85,1761738187.579000,1761738187.568500,10.5,-19749.3,-329.15,397,399,-3,-1,,,,,
86,1761738188.587000,1761738188.568500,18.5,-19748.3,-329.14,395,400,-5,0,,,,,
87,1761738189.577000,1761738189.571500,5.5,-19747.3,-329.12,395,398,-5,-2,,,,,
88,1761738190.580000,1761738190.572000,8,-19746.3,-329.1,394,398,-6,-2,,,,,
89,1761738191.578000,1761738191.575000,3,-19745.3,-329.09,397,397,-3,-3,,,,,
90,1761738192.585000,1761738192.573000,12,-19744.3,-329.07,394,398,-6,-2,,,,,
91,1761738193.585500,1761738193.572500,13,-19743.3,-329.05,791,399,391,-1,,,,,
93,1761738195.577500,1761738195.574500,3,-19741.3,-329.02,394,398,-6,-2,,,,,1274
94,1761738196.580500,1761738196.575000,5.5,-19740.3,-329,397,398,-3,-2,,,,,
95,1761738197.582500,1761738197.577000,5.5,-19739.3,-328.99,395,398,-5,-2,,,1.002999783,-0.002999783,
96,1761738198.582000,1761738198.576500,5.5,-19738.3,-328.97,397,398,-3,-2,,,1.002000093,-0.002000093,
97,1761738199.583000,1761738199.574000,9,-19737.3,-328.95,396,399,-4,-1,,,0.999500036,0.000499964,
98,1761738200.575500,1761738200.575000,0.5,-19736.3,-328.94,394,398,-6,-2,,,1.000999928,-0.000999928,
99,1761738201.577500,1761738201.579500,2,-19735.3,-328.92,395,397,-5,-3,,,0.992500067,0.007499933,
100,1761738202.585500,1761738202.580000,5.5,-19734.3,-328.9,393,397,-7,-3,,,1.002000093,-0.002000093,
101,1761738203.586000,1761738203.584500,1.5,-19733.3,-328.89,395,395,-5,-5,,,1.007999897,-0.007999897,
102,1761738204.589500,1761738204.575500,14,-19732.3,-328.87,394,398,-6,-2,,,1.000499964,-0.000499964,
103,1761738205.586500,1761738205.573000,13.5,-19731.3,-328.85,396,399,-4,-1,,,1.003499985,-0.003499985,
104,1761738206.579000,1761738206.576000,3,-19730.3,-328.84,394,399,-6,-1,,,0.996999979,0.003000021,
105,1761738207.582000,1761738207.576500,5.5,-19729.3,-328.82,395,397,-5,-3,,,0.992500067,0.007499933,
106,1761738208.584000,1761738208.576000,8,-19728.3,-328.8,395,400,-5,0,,,1.003000021,-0.003000021,
107,1761738209.592000,1761738209.579000,13,-19727.3,-328.79,394,397,-6,-3,,,1.002000093,-0.002000093,
108,1761738210.591500,1761738210.579500,12,-19726.3,-328.77,395,398,-5,-2,,,1.007999897,-0.007999897,
109,1761738211.593500,1761738211.577000,16.5,-19725.3,-328.75,394,399,-6,-1,,,0.999500036,0.000499964,
110,1761738212.581000,1761738212.583000,2,-19724.3,-328.74,394,397,-6,-3,,,1.001999855,-0.001999855,
111,1761738213.585500,1761738213.583500,2,-19723.3,-328.72,393,397,-7,-3,,,0.987500191,0.012499809,
112,1761738214.585000,1761738214.579500,5.5,-19722.3,-328.7,395,398,-5,-2,,,1.004499912,-0.004499912,
113,1761738215.589500,1761738215.582500,7,-19721.3,-328.69,393,397,-7,-3,,,0.999500036,0.000499964,
114,1761738216.591500,1761738216.582000,9.5,-19720.3,-328.67,395,398,-5,-2,,,1.004499912,-0.004499912,
115,1761738217.593500,1761738217.579500,14,-19719.3,-328.65,395,399,-5,-1,,,1.002000093,-0.002000093,
116,1761738218.583500,1761738218.581500,2,-19718.3,-328.64,396,397,-4,-3,,,1.001999855,-0.001999855,
117,1761738219.585500,1761738219.581000,4.5,-19717.3,-328.62,396,398,-4,-2,,,0.99000001,0.00999999,
118,1761738220.588500,1761738220.584000,4.5,-19716.3,-328.6,393,397,-7,-3,,,1.002000093,-0.002000093,
119,1761738221.590500,1761738221.582000,8.5,-19715.3,-328.59,394,399,-6,-1,,,1.003000021,-0.003000021,
120,1761738222.597000,1761738222.584000,13,-19714.3,-328.57,394,398,-6,-2,,,1.002000093,-0.002000093,
121,1761738223.591500,1761738223.581500,10,-19713.3,-328.55,397,399,-3,-1,,,1.006499767,-0.006499767,
122,1761738224.586500,1761738224.583500,3,-19712.3,-328.54,393,398,-7,-2,,,0.99450016,0.00549984,
123,1761738225.586000,1761738225.589500,3.5,-19711.3,-328.52,396,395,-4,-5,,,0.994999886,0.005000114,
124,1761738226.594000,1761738226.584000,10,-19710.3,-328.5,396,398,-4,-2,,,0.999500036,0.000499964,
125,1761738227.594500,1761738227.586000,8.5,-19709.3,-328.49,394,398,-6,-2,,,1.008000135,-0.008000135,
126,1761738228.595000,1761738228.585500,9.5,-19708.3,-328.47,396,397,-4,-3,,,1.000499964,-0.000499964,
127,1761738229.595500,1761738229.580500,15,-19707.3,-328.45,396,400,-4,0,,,1.000499964,-0.000499964,
128,1761738230.588000,1761738230.586000,2,-19706.3,-328.44,394,398,-6,-2,,,1.000499964,-0.000499964,
129,1761738231.595000,1761738231.583000,12,-19705.3,-328.42,393,400,-7,0,,,0.992500067,0.007499933,
130,1761738232.594500,1761738232.588500,6,-19704.3,-328.4,394,398,-6,-2,,,1.006999969,-0.006999969,
131,1761738233.600000,1761738233.588000,12,-19703.3,-328.39,394,397,-6,-3,,,0.999500036,0.000499964,
132,1761738234.602000,1761738234.588500,13.5,-19702.3,-328.37,395,398,-5,-2,,,1.00549984,-0.00549984,
133,1761738235.594000,1761738235.586000,8,-19701.3,-328.35,398,399,-2,-1,,,1.002000093,-0.002000093,
134,1761738236.591500,1761738236.587000,4.5,-19700.3,-328.34,398,399,-2,-1,,,0.992000103,0.007999897,
135,1761738237.590000,1761738237.588000,2,-19699.3,-328.32,399,399,-1,-1,,,0.997499943,0.002500057,
136,1761738238.591000,1761738238.587500,3.5,-19698.3,-328.3,398,399,-2,-1,,,0.99849987,0.00150013,
137,1761738239.590500,1761738239.586000,4.5,-19697.3,-328.29,399,400,-1,0,,,1.001000166,-0.001000166,
138,1761738240.597500,1761738240.590500,7,-19696.3,-328.27,396,397,-4,-3,,,0.999500036,0.000499964,
139,1761738241.600500,1761738241.585500,15,-19695.3,-328.25,395,400,-5,0,,,1.006999969,-0.006999969,
140,1761738242.590500,1761738242.591000,0.5,-19694.3,-328.24,396,397,-4,-3,,,1.003000021,-0.003000021,
141,1761738243.595000,1761738243.593000,2,-19693.3,-328.22,395,397,-5,-3,,,0.99000001,0.00999999,
142,1761738244.600500,1761738244.592500,8,-19692.3,-328.2,393,397,-7,-3,,,1.004499912,-0.004499912,
143,1761738245.602500,1761738245.593000,9.5,-19691.3,-328.19,394,398,-6,-2,,,1.005500078,-0.005500078,
144,1761738246.603000,1761738246.592500,10.5,-19690.3,-328.17,396,398,-4,-2,,,1.001999855,-0.001999855,
145,1761738247.605000,1761738247.590000,15,-19689.2,-328.15,395,399,-5,-1,,,1.000499964,-0.000499964,
146,1761738248.595000,1761738248.593500,1.5,-19688.3,-328.14,394,396,-6,-4,,,1.002000093,-0.002000093,
147,1761738249.598000,1761738249.593000,5,-19687.3,-328.12,393,397,-7,-3,,,0.99000001,0.00999999,
148,1761738250.600000,1761738250.597500,2.5,-19686.3,-328.1,395,397,-5,-3,,,1.003000021,-0.003000021,
149,1761738251.600500,1761738251.598000,2.5,-19685.3,-328.09,396,397,-4,-3,,,1.001999855,-0.001999855,
150,1761738252.608500,1761738252.595000,13.5,-19684.2,-328.07,394,398,-6,-2,,,1.000500202,-0.000500202,
151,1761738253.605500,1761738253.592500,13,-19683.2,-328.05,395,399,-5,-1,,,1.007999897,-0.007999897,
152,1761738254.595500,1761738254.599500,4,-19682.3,-328.04,396,396,-4,-4,,,0.996999979,0.003000021,
153,1761738255.601000,1761738255.596500,4.5,-19681.3,-328.02,394,397,-6,-3,,,0.99000001,0.00999999,
154,1761738256.605500,1761738256.598500,7,-19680.2,-328,393,397,-7,-3,,,1.005500078,-0.005500078,
155,1761738257.607500,1761738257.595500,12,-19679.2,-327.99,394,398,-6,-2,,,1.004499912,-0.004499912,
156,1761738258.612000,1761738258.592000,20,-19678.2,-327.97,394,399,-6,-1,,,1.002000093,-0.002000093,
